Autriche;Nationwide;Vienna;Intercontinental Vienna;Johannesgasse 28;;
Autriche;Nationwide;Vienna;Marriott Vienna;Parkring 12a;;
Belgique;Nationwide;Bruxelles (Brussels);Bristol Stephanie;Avenue Louise 91-93;;
Belgique;Nationwide;Bruxelles (Brussels);Crown Plaza Brussels Europa;Rue de la Loi 107;;
Canada;Alberta;Calgary;Calgary Marriott;110 9th Avenue SE;;
Canada;British Columbia;Richmond;La Quinta Inn a Suites Vancouver Airport;8640 Alexandria Road;;
Allemagne;Nationwide;Berlin;Courtyard by Marriott Berlin Mitte;Axel-Springer-Strasse 55;;
Allemagne;Nationwide;Berlin;Grand Hotel Esplanade Berlin;Lutzowufer 15;;
Espagne;Nationwide;Barcelona;Hotel Arts Barcelona;Marina 19-21;;
France;Nationwide;Cap d'Ail;Marriott Riviera Hotel La Porte de Monaco;Port de Cap d' Ail;;
France;Nationwide;Colombes;Courtyard Colombes;91 Boulevard Charles de Gaulle;;
France;Nationwide;Paris;Hilton Paris Arc De Triomphe;51-57 Rue de Courcelles;;
France;Nationwide;Paris;Marriott Rive Gauche;17   Boulevard Saint Jacques;;
France;Nationwide;Paris;Mercure Paris Porte De Versailles;69  Boulevard Victor;;
France;Nationwide;Paris;Mercure Paris Suffren Tour Eiffel;20 Rue Jean Rey;;
France;Nationwide;Paris;Napoleon Paris;40 Avenue de Friedland;;
France;Nationwide;Paris;Novotel Paris Porte D` Orleans;15-17-21 Blvd Romain Rolland;;
France;Nationwide;Paris;Renaissance Paris Vendome Hotel;4 Rue du Mont Thabor;;
France;Nationwide;Roissy;Novotel Convention and Wellness Roissy CDG;Allee des Vergers;;
France;Nationwide;Nantes;Brit Hotel Amandine;45 boulevard Des Batignolles;44300;
France;Nationwide;Nantes;Hotel de France;24, rue Crebillon;44000;
France;Nationwide;Nantes;Hotel Kyriad Nantes Centre;8, allee du Commandant Charcot;44000;
France;Nationwide;Nantes;Westotel Nantes Atlantique;34, Rue de la Vrière;44242;
France;Nationwide;Nantes;Comfort Hotel Nantes Astoria;4 allée du commandant Charcot;44000;
France;Nationwide;Nantes;Hôtel des 3 Marchands;26 rue Armand Brossard;44000;
France;Nationwide;Nantes;Hotel Du Grand Monarque;36 rue du marechal joffre;44000;
France;Nationwide;Nantes;Hotel Belfort;1, rue de Belfort;44000;
France;Nationwide;Nantes;Citotel Graslin;1 Rue Piron;44000;
United Kingdom;Nationwide;York;Hilton York;1 Tower Street;;
United Kingdom;Nationwide;York;Holiday Inn York;Tadcaster Road Dringhouses;;
United Kingdom;Nationwide;York;Marriott York Hotel;Tadcaster Road Dringhouses;;
Italie;Nationwide;Firenze;Rocco Forte Florence Savoy;Plazza della Repubblica 7;;
Italie;Nationwide;Roma;Rocco Forte de Russie Rome;Via del Babuino 9;;
Portugal;Nationwide;Lisbon;Marriott Lisbon;Av. Dos Combatentes 45;;
Etats-Unis;Alaska;Anchorage;Sheraton Anchorage Hotel;401 East 6th Avenue;;
Etats-Unis;Alabama;Birminham;La Quinta Inn a Suites Birmingham Hoover/Rivrchase;120 Riverchase Parkway East;;
Etats-Unis;California;Beverly Hills;Beverly Wilshire a Four Seasons Hotel;9500 Wilshire Boulevard;;
Etats-Unis;California;Los Angeles;Courtyard Los Angeles LAX / Century Blvd.;6161 W. Century Blvd.;;
Etats-Unis;California;San Francisco;Four Seasons Hotel San Francisco;735 Market Street;;
Etats-Unis;Colorado;Colorado Springs;Wyndham Hotel Colorado Springs;5580 Tech Center Dr;;
Etats-Unis;Colorado;Denver;Courtyard Denver Stapleton;7415 East 41st Avenue;;
Etats-Unis;Florida;Tampa;Westin Tampa Harbour Island;725 S. Harbour Island Blvd;;
Etats-Unis;Florida;West Melbourne;Courtyard Melbourne;2101 West New Haven Avenue;;
Etats-Unis;Florida;West Palm Beach;Courtyard West Palm Beach;600 North Point Parkway;;
Etats-Unis;Louisiana;New Orleans;Wyndham Riverfront;701 Convention Center Blvd;;
Etats-Unis;Maryland;Columbia;Residence Inn Columbia;4950 Beaver Run Road;;
Etats-Unis;Michigan;Detroit;Atheneum Suites Hotel and Conference Center;1000 Brush Avenue;;
Etats-Unis;Minnesota;Minneapolis;Doubletree Guest Suites Minneapolis;1101 LaSalle Avenue;;
Etats-Unis;Missouri;Kansas City;Sheraton Suites Country Club Plaza;770 W 47th St.;;
Etats-Unis;Missouri;Springfield;University Plaza Convention Center;333 John Q. Hammons Parkway;;
Etats-Unis;North Carolina;Charlotte;Charlotte Marriott South Park;2200 Rexford Road;;
Etats-Unis;North Carolina;Charlotte;SpringHill Suites Charlotte University;8700 Research Drive;;
Etats-Unis;New Jersey;Basking Ridge;Courtyard Basking Ridge;595 Martinsville Road;;
Etats-Unis;New Jersey;Basking Ridge;Inn at Somerset Hills;80 Allen Road;;
Etats-Unis;Nevada;Las Vegas;La Quinta Inn a Suites Las Vegas (Summerlin Tech);7101 Cascade Valley Court;;
Etats-Unis;Nevada;Las Vegas;Las Vegas Courtyard - Convention Center;3275 Paradise Road;;
Etats-Unis;New York;Albany;Albany Marriott;189 Wolf Road;;
Etats-Unis;New York;New York;Four Points by Sheraton Manhattan;160 W 25th St.;;
Etats-Unis;New York;New York;Four Seasons New York;57 East 57th Street;;
Etats-Unis;New York;New York;New York Financial Center Marriott;85 West Street;;
Etats-Unis;New York;Tarrytown;Courtyard Greenburgh Tarrytown;475 White Plains Road;;
Etats-Unis;Ohio;Columbus;Sheraton Suites Columbus;201 Hutchinson Avenue;;
Etats-Unis;Ohio;Cuyahoga Falls;Sheraton Suites Cuyahoga Falls;1989 Front Street;;
Etats-Unis;Oklahoma;Tulsa;Doubletree Tulsa Warren Place;6110 Yale Ave;;
Etats-Unis;Oklahoma;Tulsa;Renaissance Tulsa Hotel and Convention Center;6808 S. 107th East Avenue;;
Etats-Unis;Oregon;Portland;Benson Hotel - Portland OR;309 SW Broadway;;
Etats-Unis;Texas;Irving;Four Seasons Resort and Club Irving;4150 North Macarthur Blvd;;
Etats-Unis;Texas;Irving;La Quinta Inn a Suites Dallas (DFW-Airport North);4850 West John Carpenter Frwy;;
Etats-Unis;Texas;Irving;Las Colinas TownePlace Suites;900 W.Walnut Hill Lane;;
Etats-Unis;Texas;Irving;Residence Inn Dallas/Ft Worth Airport;8600 Esters Blvd;;
Etats-Unis;Texas;Irving;Summerfield Suites - Irving Los Colinas;5901 N. Macarthur Blvd;;
Etats-Unis;Texas;San Antonio;Watermark Hotel & Spa;212 West Crockett;;
Etats-Unis;Utah;Salt Lake City;Salt Lake Sheraton City Center;150 West 500 South;;
Etats-Unis;Washington;Bothell;Residence Inn Bothell;11920 NE 195th Street;;
Etats-Unis;Washington;Seattle;Seattle Waterfront Marriott;2100 Alaskan Way;;
Etats-Unis;New York;New York;New York Sofitel;45 West 44th Street;;